"id","code","event","event_description","field_length"
1,"a","START_PAGE_VISIT","Start page visit",5
2,"b","USER_URL_REQUEST","User URL request",8
3,"c","REFERRER_URL","Page visit through referrer url",NA
4,"d","USER_LOGIN","User login",5
5,"e","USER_LOGOUT","User logout",5
6,"f","BROWSE","Browse (not in use)",NA
7,"g","DOWNLOAD_DATASET_REQUEST","Multiple datafile request",-1
8,"h","DOWNLOAD_FILE_REQUEST","Single datafile request",11
9,"i","SEARCH_TERM","Entered search term",6
10,"j","ADVANCED_SEARCH_TERM","Advanced search term",-1
11,"k","SEARCHENGINE_TERM","Search term entered in a searchengine (not in use)",NA
12,"l","DATASET_VIEWED","Viewed dataset",10
13,"m","DATASET_DEPOSIT","Deposited dataset",6
14,"n","DATASET_PUBLISHED","Published dataset",10
15,"o","FILE_DEPOSIT","File deposit",7
16,"p","USER_REGISTRATION","User registration request",5
